Parameters: Namespace(batch_size=64, calc_implicit_reward=None, calc_implicit_reward_neuron=None, constraint=None, coverage='kmn', dataset='MNIST', image_verbose=False, implicit_reward=False, input_chooser='random', input_lower_limit=0, input_shape=(1, 28, 28, 1), input_upper_limit=255, kmn_k=10000, model='LeNet4', model_input_scale=[0, 1], nb_iterations=None, nb_new_inputs=1000, params_set=['mnist', 'LeNet4', 'tensorfuzz', 'kmn'], random_seed=2, runner='tensorfuzz', skip_layers=[0, 5], tf_num_mutations=64, tf_sigma=25.5, tfc_threshold=169, time_period=3600, verbose=True)
initial coverage: 39.5706
fuzzing iteration: 0
Input batch shape:
(64, 28, 28, 1)
Mutated img batch shape:
(64, 28, 28, 1)
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage_call_count 100
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
fuzzing iteration: 1
Input batch shape:
(64, 28, 28, 1)
Mutated img batch shape:
(64, 28, 28, 1)
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage_call_count 200
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
fuzzing iteration: 2
Input batch shape:
(64, 28, 28, 1)
Mutated img batch shape:
(64, 28, 28, 1)
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage_call_count 300
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
fuzzing iteration: 3
Input batch shape:
(64, 28, 28, 1)
Mutated img batch shape:
(64, 28, 28, 1)
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage_call_count 400
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
coverage increase: 0.00
